[2025-04-03T19:49:42.659+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-04-03T19:49:42.690+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: pokemon_replay_etl.download_replays manual__2025-04-03T19:49:31+00:00 [queued]>
[2025-04-03T19:49:42.710+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: pokemon_replay_etl.download_replays manual__2025-04-03T19:49:31+00:00 [queued]>
[2025-04-03T19:49:42.713+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 2
[2025-04-03T19:49:42.742+0000] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): download_replays> on 2025-04-03 19:49:31+00:00
[2025-04-03T19:49:42.756+0000] {standard_task_runner.py:72} INFO - Started process 766 to run task
[2025-04-03T19:49:42.764+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'pokemon_replay_etl', 'download_replays', 'manual__2025-04-03T19:49:31+00:00', '--job-id', '5', '--raw', '--subdir', 'DAGS_FOLDER/pokemon_replay_etl_dag.py', '--cfg-path', '/tmp/tmpgf3dieny']
[2025-04-03T19:49:42.772+0000] {standard_task_runner.py:105} INFO - Job 5: Subtask download_replays
[2025-04-03T19:49:42.898+0000] {task_command.py:467} INFO - Running <TaskInstance: pokemon_replay_etl.download_replays manual__2025-04-03T19:49:31+00:00 [running]> on host 93470d874d0b
[2025-04-03T19:49:43.100+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='pokemon_replay_etl' AIRFLOW_CTX_TASK_ID='download_replays' AIRFLOW_CTX_EXECUTION_DATE='2025-04-03T19:49:31+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-04-03T19:49:31+00:00'
[2025-04-03T19:49:43.110+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-04-03T19:49:43.179+0000] {tasks.py:141} INFO - Processing 255 replays
[2025-04-03T19:49:43.183+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273232611
[2025-04-03T19:49:43.386+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273231908
[2025-04-03T19:49:43.600+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273231934
[2025-04-03T19:49:43.807+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273232103
[2025-04-03T19:49:44.022+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273230773
[2025-04-03T19:49:44.217+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273231017
[2025-04-03T19:49:44.418+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273228865
[2025-04-03T19:49:44.621+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273230292
[2025-04-03T19:49:44.835+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273228131
[2025-04-03T19:49:45.047+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273227995
[2025-04-03T19:49:45.245+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273226407
[2025-04-03T19:49:45.441+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273228617
[2025-04-03T19:49:45.640+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273226618
[2025-04-03T19:49:45.845+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273226938
[2025-04-03T19:49:46.055+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273226620
[2025-04-03T19:49:46.269+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273226343
[2025-04-03T19:49:46.476+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273226013
[2025-04-03T19:49:46.704+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273228495
[2025-04-03T19:49:46.917+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273224440
[2025-04-03T19:49:47.155+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273224139
[2025-04-03T19:49:47.378+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273224017
[2025-04-03T19:49:47.625+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273223933
[2025-04-03T19:49:47.838+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273223830
[2025-04-03T19:49:48.041+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273222953
[2025-04-03T19:49:48.252+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273222549
[2025-04-03T19:49:48.486+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273220755
[2025-04-03T19:49:48.717+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273223547
[2025-04-03T19:49:48.961+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273221171
[2025-04-03T19:49:49.159+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273221037
[2025-04-03T19:49:49.382+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273220961
[2025-04-03T19:49:49.590+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273218733
[2025-04-03T19:49:49.770+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273217277
[2025-04-03T19:49:49.957+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273217186
[2025-04-03T19:49:50.158+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273217172
[2025-04-03T19:49:50.397+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273215549
[2025-04-03T19:49:50.601+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273218468
[2025-04-03T19:49:50.802+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273215648
[2025-04-03T19:49:51.013+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273215425
[2025-04-03T19:49:51.201+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273215377
[2025-04-03T19:49:51.432+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273217838
[2025-04-03T19:49:51.639+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273214476
[2025-04-03T19:49:51.853+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273216192
[2025-04-03T19:49:52.031+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273213586
[2025-04-03T19:49:52.243+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273213554
[2025-04-03T19:49:52.447+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273212624
[2025-04-03T19:49:52.733+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273212502
[2025-04-03T19:49:52.921+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273212448
[2025-04-03T19:49:53.112+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273200931
[2025-04-03T19:49:53.524+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273200203
[2025-04-03T19:49:53.730+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273201149
[2025-04-03T19:49:53.920+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273200033
[2025-04-03T19:49:54.127+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273201260
[2025-04-03T19:49:54.328+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273198642
[2025-04-03T19:49:54.594+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273196413
[2025-04-03T19:49:54.794+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273196273
[2025-04-03T19:49:55.052+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273195885
[2025-04-03T19:49:55.256+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273194965
[2025-04-03T19:49:55.422+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273195572
[2025-04-03T19:49:55.621+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273195539
[2025-04-03T19:49:55.806+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273195970
[2025-04-03T19:49:56.011+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273194228
[2025-04-03T19:49:56.484+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273193832
[2025-04-03T19:49:56.818+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273193284
[2025-04-03T19:49:57.048+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273192917
[2025-04-03T19:49:57.286+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273192346
[2025-04-03T19:49:57.480+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273193786
[2025-04-03T19:49:57.689+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273192648
[2025-04-03T19:49:57.905+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273191093
[2025-04-03T19:49:58.104+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273190780
[2025-04-03T19:49:58.322+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273190756
[2025-04-03T19:49:58.553+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273190518
[2025-04-03T19:49:58.787+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273190497
[2025-04-03T19:49:58.998+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273189676
[2025-04-03T19:49:59.242+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273189108
[2025-04-03T19:49:59.436+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273188656
[2025-04-03T19:49:59.629+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273188392
[2025-04-03T19:49:59.820+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273188135
[2025-04-03T19:50:00.093+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273187350
[2025-04-03T19:50:00.352+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273188985
[2025-04-03T19:50:00.598+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273187406
[2025-04-03T19:50:00.812+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273186264
[2025-04-03T19:50:01.018+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273185810
[2025-04-03T19:50:01.243+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273185773
[2025-04-03T19:50:01.428+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273185364
[2025-04-03T19:50:01.634+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273185206
[2025-04-03T19:50:01.828+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273185078
[2025-04-03T19:50:02.047+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273182372
[2025-04-03T19:50:02.232+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273184396
[2025-04-03T19:50:02.421+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273184083
[2025-04-03T19:50:02.618+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273184053
[2025-04-03T19:50:02.814+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273182715
[2025-04-03T19:50:03.055+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273182462
[2025-04-03T19:50:03.266+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273179620
[2025-04-03T19:50:03.486+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273182693
[2025-04-03T19:50:03.703+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273178581
[2025-04-03T19:50:03.887+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273177630
[2025-04-03T19:50:04.099+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273181373
[2025-04-03T19:50:04.286+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273177141
[2025-04-03T19:50:04.468+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273174131
[2025-04-03T19:50:04.649+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273173668
[2025-04-03T19:50:04.884+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273172092
[2025-04-03T19:50:05.074+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273173775
[2025-04-03T19:50:05.277+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273172160
[2025-04-03T19:50:05.474+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273170448
[2025-04-03T19:50:05.664+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273169605
[2025-04-03T19:50:05.868+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273169057
[2025-04-03T19:50:06.108+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273169772
[2025-04-03T19:50:06.327+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273168403
[2025-04-03T19:50:06.534+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273169722
[2025-04-03T19:50:06.737+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273168048
[2025-04-03T19:50:06.933+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273167661
[2025-04-03T19:50:07.150+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273165771
[2025-04-03T19:50:07.340+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273165488
[2025-04-03T19:50:07.514+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273165895
[2025-04-03T19:50:07.749+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273165024
[2025-04-03T19:50:07.961+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273164294
[2025-04-03T19:50:08.143+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273166469
[2025-04-03T19:50:08.317+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273164093
[2025-04-03T19:50:08.576+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273164038
[2025-04-03T19:50:08.805+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273163430
[2025-04-03T19:50:09.037+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273163387
[2025-04-03T19:50:09.222+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273162925
[2025-04-03T19:50:09.444+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273164971
[2025-04-03T19:50:09.647+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273162887
[2025-04-03T19:50:09.837+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273161498
[2025-04-03T19:50:10.092+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273160638
[2025-04-03T19:50:10.253+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273161575
[2025-04-03T19:50:10.445+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273161010
[2025-04-03T19:50:10.647+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273161726
[2025-04-03T19:50:10.856+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273160847
[2025-04-03T19:50:11.085+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273160570
[2025-04-03T19:50:11.272+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273160028
[2025-04-03T19:50:11.476+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273159091
[2025-04-03T19:50:11.686+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273160657
[2025-04-03T19:50:11.905+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273155913
[2025-04-03T19:50:12.117+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273156631
[2025-04-03T19:50:12.295+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273155655
[2025-04-03T19:50:12.479+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273156474
[2025-04-03T19:50:12.752+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273156142
[2025-04-03T19:50:12.930+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273154589
[2025-04-03T19:50:13.124+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273154367
[2025-04-03T19:50:13.305+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273154149
[2025-04-03T19:50:13.515+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273153859
[2025-04-03T19:50:13.723+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273153816
[2025-04-03T19:50:13.901+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273153587
[2025-04-03T19:50:14.138+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273152478
[2025-04-03T19:50:14.368+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273151431
[2025-04-03T19:50:14.597+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273151208
[2025-04-03T19:50:14.817+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273149545
[2025-04-03T19:50:15.045+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273149096
[2025-04-03T19:50:15.260+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273148587
[2025-04-03T19:50:15.446+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273147823
[2025-04-03T19:50:15.630+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273146988
[2025-04-03T19:50:15.806+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273146867
[2025-04-03T19:50:16.008+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273146800
[2025-04-03T19:50:16.217+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273146240
[2025-04-03T19:50:16.395+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273145568
