[2025-04-03T19:57:44.235+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-04-03T19:57:44.283+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: pokemon_replay_etl.download_replays manual__2025-04-03T19:57:40+00:00 [queued]>
[2025-04-03T19:57:44.314+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: pokemon_replay_etl.download_replays manual__2025-04-03T19:57:40+00:00 [queued]>
[2025-04-03T19:57:44.316+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 2
[2025-04-03T19:57:44.344+0000] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): download_replays> on 2025-04-03 19:57:40+00:00
[2025-04-03T19:57:44.353+0000] {standard_task_runner.py:72} INFO - Started process 224 to run task
[2025-04-03T19:57:44.362+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'pokemon_replay_etl', 'download_replays', 'manual__2025-04-03T19:57:40+00:00', '--job-id', '10', '--raw', '--subdir', 'DAGS_FOLDER/pokemon_replay_etl_dag.py', '--cfg-path', '/tmp/tmp69mnav0s']
[2025-04-03T19:57:44.370+0000] {standard_task_runner.py:105} INFO - Job 10: Subtask download_replays
[2025-04-03T19:57:44.474+0000] {task_command.py:467} INFO - Running <TaskInstance: pokemon_replay_etl.download_replays manual__2025-04-03T19:57:40+00:00 [running]> on host e0c678210eee
[2025-04-03T19:57:44.626+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='pokemon_replay_etl' AIRFLOW_CTX_TASK_ID='download_replays' AIRFLOW_CTX_EXECUTION_DATE='2025-04-03T19:57:40+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-04-03T19:57:40+00:00'
[2025-04-03T19:57:44.631+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-04-03T19:57:44.684+0000] {tasks.py:141} INFO - Processing 255 replays
[2025-04-03T19:57:44.690+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273232611
[2025-04-03T19:57:44.905+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273231908
[2025-04-03T19:57:45.208+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273231934
[2025-04-03T19:57:45.410+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273232103
[2025-04-03T19:57:45.609+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273230773
[2025-04-03T19:57:45.812+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273231017
[2025-04-03T19:57:46.021+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273228865
[2025-04-03T19:57:46.239+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273230292
[2025-04-03T19:57:46.439+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273228131
[2025-04-03T19:57:46.653+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273227995
[2025-04-03T19:57:46.863+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273226407
[2025-04-03T19:57:47.052+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273228617
[2025-04-03T19:57:47.359+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273226618
[2025-04-03T19:57:47.599+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273226938
[2025-04-03T19:57:47.793+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273226620
[2025-04-03T19:57:48.009+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273226343
[2025-04-03T19:57:48.186+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273226013
[2025-04-03T19:57:48.389+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273228495
[2025-04-03T19:57:48.598+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273224440
[2025-04-03T19:57:48.773+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273224139
[2025-04-03T19:57:49.005+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273224017
[2025-04-03T19:57:49.206+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273223933
[2025-04-03T19:57:49.532+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273223830
[2025-04-03T19:57:49.758+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273222953
[2025-04-03T19:57:49.966+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273222549
[2025-04-03T19:57:50.173+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273220755
[2025-04-03T19:57:50.348+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273223547
[2025-04-03T19:57:50.558+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273221171
[2025-04-03T19:57:50.793+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273221037
[2025-04-03T19:57:51.006+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273220961
[2025-04-03T19:57:51.242+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273218733
[2025-04-03T19:57:51.468+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273217277
[2025-04-03T19:57:51.671+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273217186
[2025-04-03T19:57:51.865+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273217172
[2025-04-03T19:57:52.075+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273215549
[2025-04-03T19:57:52.273+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273218468
[2025-04-03T19:57:52.521+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273215648
[2025-04-03T19:57:52.730+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273215425
[2025-04-03T19:57:52.984+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273215377
[2025-04-03T19:57:53.197+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273217838
[2025-04-03T19:57:53.401+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273214476
[2025-04-03T19:57:53.592+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273216192
[2025-04-03T19:57:53.798+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273213586
[2025-04-03T19:57:53.997+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273213554
[2025-04-03T19:57:54.388+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273212624
[2025-04-03T19:57:54.619+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273212502
[2025-04-03T19:57:54.858+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273212448
[2025-04-03T19:57:55.056+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273200931
