[2025-04-03T19:49:42.652+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-04-03T19:49:42.684+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: pokemon_replay_etl.download_replays scheduled__2025-04-02T00:00:00+00:00 [queued]>
[2025-04-03T19:49:42.703+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: pokemon_replay_etl.download_replays scheduled__2025-04-02T00:00:00+00:00 [queued]>
[2025-04-03T19:49:42.706+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 2
[2025-04-03T19:49:42.731+0000] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): download_replays> on 2025-04-02 00:00:00+00:00
[2025-04-03T19:49:42.747+0000] {standard_task_runner.py:72} INFO - Started process 765 to run task
[2025-04-03T19:49:42.755+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'pokemon_replay_etl', 'download_replays', 'scheduled__2025-04-02T00:00:00+00:00', '--job-id', '4', '--raw', '--subdir', 'DAGS_FOLDER/pokemon_replay_etl_dag.py', '--cfg-path', '/tmp/tmp0eyql4o2']
[2025-04-03T19:49:42.762+0000] {standard_task_runner.py:105} INFO - Job 4: Subtask download_replays
[2025-04-03T19:49:42.883+0000] {task_command.py:467} INFO - Running <TaskInstance: pokemon_replay_etl.download_replays scheduled__2025-04-02T00:00:00+00:00 [running]> on host 93470d874d0b
[2025-04-03T19:49:43.047+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='pokemon_replay_etl' AIRFLOW_CTX_TASK_ID='download_replays' AIRFLOW_CTX_EXECUTION_DATE='2025-04-02T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-04-02T00:00:00+00:00'
[2025-04-03T19:49:43.053+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-04-03T19:49:43.137+0000] {tasks.py:141} INFO - Processing 255 replays
[2025-04-03T19:49:43.140+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273232611
[2025-04-03T19:49:43.370+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273231908
[2025-04-03T19:49:43.583+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273231934
[2025-04-03T19:49:43.775+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273232103
[2025-04-03T19:49:43.967+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273230773
[2025-04-03T19:49:44.197+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273231017
[2025-04-03T19:49:44.393+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273228865
[2025-04-03T19:49:44.617+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273230292
[2025-04-03T19:49:44.845+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273228131
[2025-04-03T19:49:45.047+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273227995
[2025-04-03T19:49:45.292+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273226407
[2025-04-03T19:49:45.478+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273228617
[2025-04-03T19:49:45.696+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273226618
[2025-04-03T19:49:45.890+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273226938
[2025-04-03T19:49:46.102+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273226620
[2025-04-03T19:49:46.298+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273226343
[2025-04-03T19:49:46.539+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273226013
[2025-04-03T19:49:46.780+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273228495
[2025-04-03T19:49:46.985+0000] {tasks.py:157} INFO - Downloading replay: gen9vgc2024regh-2273224440
